	BLASTX_swissprot
TRINITY_DN8866_c2_g3	.
TRINITY_DN7363_c3_g1	"TPS2_LOTJA^TPS2_LOTJA^Q:270-1,H:403-492^65.556%ID^E:1.07e-34^RecName: Full=Tricyclene synthase EBOS, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Loteae; Lotus"
TRINITY_DN6251_c0_g1	.
TRINITY_DN6109_c2_g1	.
TRINITY_DN8056_c1_g1	"COMT1_POPTM^COMT1_POPTM^Q:1293-628,H:16-235^52.232%ID^E:2.46e-75^RecName: Full=Caffeic acid 3-O-methyltransferase 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Salicaceae; Saliceae; Populus`COMT1_POPTM^COMT1_POPTM^Q:631-281,H:244-361^47.458%ID^E:2.46e-75^RecName: Full=Caffeic acid 3-O-methyltransferase 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Salicaceae; Saliceae; Populus"
TRINITY_DN8534_c1_g2	"NU5M_WHEAT^NU5M_WHEAT^Q:204-1,H:1-68^100%ID^E:1.25e-33^RecName: Full=NADH-ubiquinone oxidoreductase chain 5;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Triticinae; Triticum"
TRINITY_DN8581_c4_g1	"SG101_ARATH^SG101_ARATH^Q:1854-130,H:9-533^37.288%ID^E:2.4e-108^RecName: Full=Senescence-associated carboxylesterase 101;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9424_c8_g1	"ZEUS1_ARATH^ZEUS1_ARATH^Q:153-1,H:58-108^70.588%ID^E:4.63e-18^RecName: Full=Thymidylate kinase {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN6873_c0_g2	"PITC_DICDI^PITC_DICDI^Q:313-681,H:39-166^34.884%ID^E:3.09e-15^RecName: Full=Phosphatidylinositol transfer protein 3;^Eukaryota; Amoebozoa; Mycetozoa; Dictyostelids; Dictyosteliales; Dictyosteliaceae; Dictyostelium"
TRINITY_DN7666_c7_g1	"DLO2_ARATH^DLO2_ARATH^Q:1187-231,H:21-325^37.195%ID^E:2.57e-55^RecName: Full=Protein DMR6-LIKE OXYGENASE 2 {ECO:0000303|PubMed:25376907};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7242_c2_g1	"LRK10_WHEAT^LRK10_WHEAT^Q:2041-410,H:71-634^40.415%ID^E:5.86e-120^RecName: Full=Rust resistance kinase Lr10 {ECO:0000312|EMBL:AAC49629.1};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Triticinae; Triticum"
TRINITY_DN7921_c1_g1	"HIP46_ARATH^HIP46_ARATH^Q:1601-1347,H:2-86^36.047%ID^E:1.55e-06^RecName: Full=Heavy metal-associated isoprenylated plant protein 46 {ECO:0000303|PubMed:21072340, ECO:0000303|PubMed:23368984};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9602_c4_g1	.
TRINITY_DN9492_c2_g1	.
TRINITY_DN8800_c4_g1	.
TRINITY_DN7667_c0_g1	"ILV5_PEA^ILV5_PEA^Q:3-515,H:326-496^81.287%ID^E:6.7e-96^RecName: Full=Ketol-acid reductoisomerase, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Fabeae; Pisum"
TRINITY_DN7035_c2_g4	"SD18_ARATH^SD18_ARATH^Q:41-1123,H:483-850^60.87%ID^E:9.7e-150^RecName: Full=Receptor-like serine/threonine-protein kinase SD1-8;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8292_c2_g1	"VESTR_MEDSA^VESTR_MEDSA^Q:466-131,H:216-326^52.679%ID^E:1.62e-26^RecName: Full=Vestitone reductase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Trifolieae; Medicago`VESTR_MEDSA^VESTR_MEDSA^Q:574-434,H:5-51^53.191%ID^E:5.38e-09^RecName: Full=Vestitone reductase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Trifolieae; Medicago"
TRINITY_DN8858_c4_g1	"PYL4_ARATH^PYL4_ARATH^Q:853-257,H:2-203^67.476%ID^E:1.52e-77^RecName: Full=Abscisic acid receptor PYL4;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8098_c1_g2	.
TRINITY_DN7972_c1_g1	.
TRINITY_DN128_c0_g1	"GATL4_ARATH^GATL4_ARATH^Q:1139-201,H:37-351^73.817%ID^E:3.79e-175^RecName: Full=Probable galacturonosyltransferase-like 4;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8349_c11_g1	.
TRINITY_DN7282_c0_g1	"P2A01_ARATH^P2A01_ARATH^Q:95-580,H:81-245^46.386%ID^E:1.43e-46^RecName: Full=Protein PHLOEM PROTEIN 2-LIKE A1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN5958_c3_g4	"CRK25_ARATH^CRK25_ARATH^Q:3-1037,H:143-470^45.821%ID^E:2.06e-83^RecName: Full=Cysteine-rich receptor-like protein kinase 25;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN4300_c0_g1	"TMVRN_NICGU^TMVRN_NICGU^Q:335-730,H:12-142^56.818%ID^E:1.34e-43^RecName: Full=TMV resistance protein N;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana"
TRINITY_DN9330_c0_g1	.
TRINITY_DN7756_c3_g3	.
TRINITY_DN5861_c0_g1	.
TRINITY_DN9392_c5_g1	"Y2734_MYCBO^Y2734_MYCBO^Q:783-43,H:36-293^26.038%ID^E:3.09e-12^RecName: Full=Uncharacterized protein Mb2734;^Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex"
TRINITY_DN15161_c0_g1	.
TRINITY_DN15005_c0_g1	.
TRINITY_DN6340_c5_g1	.
TRINITY_DN3226_c0_g1	"RNHX1_ARATH^RNHX1_ARATH^Q:450-680,H:10-86^37.662%ID^E:6.52e-12^RecName: Full=Putative ribonuclease H protein At1g65750;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9040_c0_g1	"MAOP4_ARATH^MAOP4_ARATH^Q:339-1,H:242-354^92.92%ID^E:5.86e-74^RecName: Full=NADP-dependent malic enzyme 4, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8395_c6_g2	.
TRINITY_DN6930_c2_g1	.
TRINITY_DN7416_c2_g3	"FKB62_ARATH^FKB62_ARATH^Q:183-287,H:195-229^62.857%ID^E:1.7e-07^RecName: Full=Peptidyl-prolyl cis-trans isomerase FKBP62;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN3797_c0_g1	"PRU1_PRUAV^PRU1_PRUAV^Q:513-88,H:1-159^51.572%ID^E:3.43e-39^RecName: Full=Major allergen Pru av 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus"
TRINITY_DN9959_c0_g1	.
TRINITY_DN9507_c9_g1	.
TRINITY_DN14984_c0_g1	.
TRINITY_DN9903_c0_g1	.
TRINITY_DN7140_c0_g1	.
TRINITY_DN7002_c0_g1	.
TRINITY_DN8059_c0_g1	.
TRINITY_DN9334_c6_g6	.
TRINITY_DN6942_c1_g1	.
TRINITY_DN7076_c0_g1	.
TRINITY_DN6039_c1_g1	"Y3720_ARATH^Y3720_ARATH^Q:373-1689,H:40-466^27.426%ID^E:1.47e-41^RecName: Full=UPF0481 protein At3g47200;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN5638_c1_g3	.
TRINITY_DN9290_c0_g1	.
TRINITY_DN9574_c5_g3	.
TRINITY_DN5001_c0_g2	.
TRINITY_DN4126_c0_g1	.
TRINITY_DN9540_c5_g1	.
TRINITY_DN9259_c5_g1	"QKY_ARATH^QKY_ARATH^Q:369-163,H:16-80^45.07%ID^E:3.79e-08^RecName: Full=Protein QUIRKY {ECO:0000303|PubMed:19180193};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7405_c0_g2	"RPT2_ARATH^RPT2_ARATH^Q:2095-446,H:12-585^70.209%ID^E:0^RecName: Full=Root phototropism protein 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8093_c2_g3	"CH62_CUCMA^CH62_CUCMA^Q:2077-383,H:1-565^89.381%ID^E:0^RecName: Full=Chaperonin CPN60-2, mitochondrial;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Cucurbitales; Cucurbitaceae; Cucurbiteae; Cucurbita"
TRINITY_DN9028_c1_g1	.
TRINITY_DN6106_c3_g3	"WRK41_ARATH^WRK41_ARATH^Q:207-1163,H:4-306^38.728%ID^E:1.15e-64^RecName: Full=Probable WRKY transcription factor 41;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8748_c3_g1	"NPG1_ARATH^NPG1_ARATH^Q:2594-558,H:22-704^74.307%ID^E:0^RecName: Full=Protein NPG1 {ECO:0000303|PubMed:12928497};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN3459_c0_g1	.
TRINITY_DN9537_c5_g3	"HFB2B_ARATH^HFB2B_ARATH^Q:1411-521,H:51-374^54.268%ID^E:5.43e-86^RecName: Full=Heat stress transcription factor B-2b;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8283_c2_g2	.
TRINITY_DN5642_c0_g1	"POLR2_ARATH^POLR2_ARATH^Q:329-6,H:446-554^42.202%ID^E:2.09e-17^RecName: Full=Retrovirus-related Pol polyprotein from transposon RE2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`POLR2_ARATH^POLR2_ARATH^Q:1371-1051,H:88-171^26.168%ID^E:3.87e-08^RecName: Full=Retrovirus-related Pol polyprotein from transposon RE2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`POLR2_ARATH^POLR2_ARATH^Q:1540-1379,H:24-76^32.727%ID^E:3.87e-08^RecName: Full=Retrovirus-related Pol polyprotein from transposon RE2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9728_c3_g1	"AHP4_ARATH^AHP4_ARATH^Q:149-505,H:9-127^73.109%ID^E:1.17e-62^RecName: Full=Histidine-containing phosphotransfer protein 4;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN12478_c0_g1	"MBOA2_ARATH^MBOA2_ARATH^Q:95-256,H:1-53^44.444%ID^E:2.32e-06^RecName: Full=Lysophospholipid acyltransferase 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN6103_c0_g5	"FPPS1_LUPAL^FPPS1_LUPAL^Q:114-632,H:1-173^84.971%ID^E:1.08e-109^RecName: Full=Farnesyl pyrophosphate synthase 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Genisteae; Lupinus"
TRINITY_DN7247_c3_g2	"BZP61_ARATH^BZP61_ARATH^Q:733-347,H:173-305^76.692%ID^E:2.89e-60^RecName: Full=Basic leucine zipper 61 {ECO:0000303|PubMed:11906833};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9321_c4_g1	"PMEI7_ARATH^PMEI7_ARATH^Q:169-672,H:34-201^47.024%ID^E:3.34e-53^RecName: Full=Pectinesterase inhibitor 7 {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN4014_c0_g1	.
TRINITY_DN9008_c3_g1	"FL3H_PETHY^FL3H_PETHY^Q:98-1111,H:3-341^88.791%ID^E:0^RecName: Full=Naringenin,2-oxoglutarate 3-dioxygenase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Petunioideae; Petunia"
TRINITY_DN6089_c1_g1	"9DC3_SOLPI^9DC3_SOLPI^Q:46-915,H:540-862^39.818%ID^E:3.18e-42^RecName: Full=Receptor-like protein 9DC3 {ECO:0000312|EMBL:AAT77550.1};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum; Lycopersicon`9DC3_SOLPI^9DC3_SOLPI^Q:43-597,H:227-446^36.036%ID^E:2.8e-16^RecName: Full=Receptor-like protein 9DC3 {ECO:0000312|EMBL:AAT77550.1};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum; Lycopersicon`9DC3_SOLPI^9DC3_SOLPI^Q:82-594,H:361-518^38.372%ID^E:5.91e-08^RecName: Full=Receptor-like protein 9DC3 {ECO:0000312|EMBL:AAT77550.1};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum; Lycopersicon`9DC3_SOLPI^9DC3_SOLPI^Q:46-660,H:154-350^27.826%ID^E:1.2e-06^RecName: Full=Receptor-like protein 9DC3 {ECO:0000312|EMBL:AAT77550.1};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum; Lycopersicon`9DC3_SOLPI^9DC3_SOLPI^Q:46-594,H:373-590^28.947%ID^E:2.77e-06^RecName: Full=Receptor-like protein 9DC3 {ECO:0000312|EMBL:AAT77550.1};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum; Lycopersicon"
TRINITY_DN9346_c2_g2	.
TRINITY_DN8868_c2_g2	.
TRINITY_DN7676_c3_g2	"NCED1_PHAVU^NCED1_PHAVU^Q:513-2054,H:105-615^80.35%ID^E:0^RecName: Full=9-cis-epoxycarotenoid dioxygenase NCED1, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus"
TRINITY_DN8157_c2_g1	"TIC32_PEA^TIC32_PEA^Q:3-860,H:30-315^72.378%ID^E:2.97e-155^RecName: Full=Short-chain dehydrogenase TIC 32, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Fabeae; Pisum"
TRINITY_DN6696_c5_g1	"PRR73_ORYSI^PRR73_ORYSI^Q:3-1328,H:140-587^49.567%ID^E:2.8e-97^RecName: Full=Two-component response regulator-like PRR73;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa"
TRINITY_DN6852_c1_g1	"PIP12_ARATH^PIP12_ARATH^Q:1421-549,H:3-276^27.483%ID^E:4.5e-13^RecName: Full=Aquaporin PIP1-2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7269_c2_g1	"Y3720_ARATH^Y3720_ARATH^Q:272-1627,H:17-458^30.72%ID^E:3.67e-62^RecName: Full=UPF0481 protein At3g47200;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9209_c5_g1	"CCD94_DICDI^CCD94_DICDI^Q:2-247,H:74-154^60.976%ID^E:2.88e-28^RecName: Full=Coiled-coil domain-containing protein 94 homolog;^Eukaryota; Amoebozoa; Mycetozoa; Dictyostelids; Dictyosteliales; Dictyosteliaceae; Dictyostelium"
TRINITY_DN7424_c0_g1	"C76A2_SOLME^C76A2_SOLME^Q:207-1583,H:47-502^52.391%ID^E:4.8e-175^RecName: Full=Cytochrome P450 76A2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum"
TRINITY_DN7790_c0_g1	.
TRINITY_DN5703_c0_g1	.
TRINITY_DN8031_c1_g1	.
TRINITY_DN6999_c1_g1	"COL2_ARATH^COL2_ARATH^Q:89-238,H:129-172^56.863%ID^E:6.53e-06^RecName: Full=Zinc finger protein CONSTANS-LIKE 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN5579_c2_g1	.
TRINITY_DN6910_c1_g1	"DNJC7_DICDI^DNJC7_DICDI^Q:1166-885,H:349-436^39.362%ID^E:1.93e-09^RecName: Full=DnaJ homolog subfamily C member 7 homolog;^Eukaryota; Amoebozoa; Mycetozoa; Dictyostelids; Dictyosteliales; Dictyosteliaceae; Dictyostelium"
TRINITY_DN5697_c0_g3	"BAD1_ARATH^BAD1_ARATH^Q:284-829,H:39-224^31.579%ID^E:2.64e-15^RecName: Full=Ankyrin repeat-containing protein BDA1 {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8738_c3_g1	"HIP5_ARATH^HIP5_ARATH^Q:1214-726,H:53-221^47.337%ID^E:3.41e-31^RecName: Full=Heavy metal-associated isoprenylated plant protein 5 {ECO:0000303|PubMed:21072340, ECO:0000303|PubMed:23368984};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`HIP5_ARATH^HIP5_ARATH^Q:584-327,H:307-386^44.318%ID^E:7.7e-08^RecName: Full=Heavy metal-associated isoprenylated plant protein 5 {ECO:0000303|PubMed:21072340, ECO:0000303|PubMed:23368984};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8609_c4_g2	"NLTP2_PRUAR^NLTP2_PRUAR^Q:479-276,H:1-68^57.353%ID^E:9.01e-22^RecName: Full=Non-specific lipid-transfer protein 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus"
TRINITY_DN9247_c4_g1	"FKB65_ARATH^FKB65_ARATH^Q:331-1893,H:60-578^75.81%ID^E:0^RecName: Full=Peptidyl-prolyl cis-trans isomerase FKBP65;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9357_c2_g1	"ISPD_MENPI^ISPD_MENPI^Q:139-903,H:1-255^58.039%ID^E:1.72e-95^RecName: Full=(-)-isopiperitenol/(-)-carveol dehydrogenase, mitochondrial;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Lamiaceae; Nepetoideae; Mentheae; Mentha"
TRINITY_DN9404_c4_g1	"C90D1_ARATH^C90D1_ARATH^Q:326-1483,H:100-490^65.985%ID^E:0^RecName: Full=3-epi-6-deoxocathasterone 23-monooxygenase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9097_c5_g1	"EF2_ARATH^EF2_ARATH^Q:2-304,H:107-207^98.02%ID^E:5.59e-53^RecName: Full=Elongation factor 2 {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9304_c5_g1	.
TRINITY_DN14290_c0_g1	.
TRINITY_DN168_c0_g1	"C7A29_PANGI^C7A29_PANGI^Q:58-909,H:144-433^48.454%ID^E:2.5e-89^RecName: Full=Cytochrome P450 CYP72A219;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Apiales; Araliaceae; Panax"
TRINITY_DN4381_c0_g1	.
